horse;Treatment;Day;FEC
W672;LOW_CTL;d0;75
W672;LOW_CTL;d15;30
W673;LOW_TRT;d0;0
W673;LOW_TRT;d15;0
W674;LOW_CTL;d0;45
W674;LOW_CTL;d15;0
W677;LOW_TRT;d0;0
W677;LOW_TRT;d15;15
W681;LOW_TRT;d0;90
W681;LOW_TRT;d15;0
W683;HIGH_TRT;d0;285
W683;HIGH_TRT;d15;0
W687;LOW_TRT;d0;0
W687;LOW_TRT;d15;0
W690;LOW_CTL;d0;105
W690;LOW_CTL;d15;15
W695;LOW_CTL;d0;0
W695;LOW_CTL;d15;0
W696;LOW_TRT;d0;30
W696;LOW_TRT;d15;0
W699;LOW_CTL;d0;30
W699;LOW_CTL;d15;15
W700;LOW_CTL;d0;105
W700;LOW_CTL;d15;30
W701;LOW_TRT;d0;30
W701;LOW_TRT;d15;0
W706;LOW_CTL;d0;0
W706;LOW_CTL;d15;15
W708;LOW_TRT;d0;75
W708;LOW_TRT;d15;0
W714;LOW_TRT;d0;180
W714;LOW_TRT;d15;15
W716;LOW_CTL;d0;405
W716;LOW_CTL;d15;360
W718;LOW_TRT;d0;135
W718;LOW_TRT;d15;0
W722;LOW_CTL;d0;0
W722;LOW_CTL;d15;0
W725;HIGH_TRT;d0;435
W725;HIGH_TRT;d15;30
W727;LOW_TRT;d0;240
W727;LOW_TRT;d15;0
W729;HIGH_CTL;d0;2175
W729;HIGH_CTL;d15;645
W733;HIGH_CTL;d0;1170
W733;HIGH_CTL;d15;720
W734;HIGH_CTL;d0;1350
W734;HIGH_CTL;d15;330
W735;HIGH_TRT;d0;840
W735;HIGH_TRT;d15;225
W739;HIGH_TRT;d0;945
W739;HIGH_TRT;d15;165
W741;LOW_CTL;d0;30
W741;LOW_CTL;d15;0
W742;HIGH_CTL;d0;1545
W742;HIGH_CTL;d15;420
W743;HIGH_CTL;d0;1335
W743;HIGH_CTL;d15;495
W744;HIGH_TRT;d0;330
W744;HIGH_TRT;d15;0
W745;HIGH_TRT;d0;75
W745;HIGH_TRT;d15;30
W746;HIGH_TRT;d0;45
W746;HIGH_TRT;d15;0
W747;HIGH_CTL;d0;0
W747;HIGH_CTL;d15;90
W748;HIGH_CTL;d0;690
W748;HIGH_CTL;d15;510
W749;HIGH_CTL;d0;1110
W749;HIGH_CTL;d15;255
W750;HIGH_CTL;d0;675
W750;HIGH_CTL;d15;1185
W752;HIGH_TRT;d0;345
W752;HIGH_TRT;d15;45
W753;HIGH_TRT;d0;330
W753;HIGH_TRT;d15;30
W754;HIGH_TRT;d0;330
W754;HIGH_TRT;d15;45
W755;HIGH_CTL;d0;95
W755;HIGH_CTL;d15;330
klarte;TRT;d0;200
koline;TRT;d0;430
kune;TRT;d0;870
kemeliss;TRT;d0;980
kutricule;TRT;d0;1050
kontente;TRT;d0;1270
kween;TRT;d0;1330
kinzieme;TRT;d0;1490
kompromi;TRT;d0;2040
kaia;TRT;d0;2160
kipiki;CTL;d0;2980
kelblague;CTL;d0;180
kanelle;CTL;d0;230
kelisande;CTL;d0;540
kornaline;CTL;d0;930
karapate;CTL;d0;1050
khalici;CTL;d0;1220
kechazula;CTL;d0;1280
kanicule;CTL;d0;1470
kelelapom;CTL;d0;1680
klarte;TRT;d14;10
koline;TRT;d14;10
kune;TRT;d14;0
kemeliss;TRT;d14;10
kutricule;TRT;d14;20
kontente;TRT;d14;10
kween;TRT;d14;0
kinzieme;TRT;d14;0
kompromi;TRT;d14;0
kaia;TRT;d14;10
kipiki;CTL;d14;2240
kelblague;CTL;d14;770
kanelle;CTL;d14;110
kelisande;CTL;d14;190
kornaline;CTL;d14;760
karapate;CTL;d14;1030
khalici;CTL;d14;570
kechazula;CTL;d14;1830
kanicule;CTL;d14;2650
kelelapom;CTL;d14;2720
