Assay ;Group;Conc;Unit;Quantity_lactucopicrine_ug;L1/L2;L3;Dev
Nouzilly;Control;0;NA;0;4;67;94,36619718
Nouzilly;Control;0;NA;0;2;117;98,31932773
Nouzilly;Control;0;NA;0;1;88;98,87640449
Nouzilly;Control;0;NA;0;3;98;97,02970297
Nouzilly;Control;0;NA;0;2;95;97,93814433
Nouzilly;Control;0;NA;0;2;108;98,18181818
Nouzilly;Nouzilly;5000;ug/mL;38,245;88;0;0
Nouzilly;Nouzilly;5000;ug/mL;38,245;91;0;0
Nouzilly;Nouzilly;5000;ug/mL;38,245;104;1;0,952380952
Nouzilly;Nouzilly;5000;ug/mL;38,245;95;0;0
Nouzilly;Nouzilly;5000;ug/mL;38,245;112;1;0,884955752
Nouzilly;Nouzilly;5000;ug/mL;38,245;96;2;2,040816327
Nouzilly;Nouzilly;4000;ug/mL;30,596;65;33;33,67346939
Nouzilly;Nouzilly;4000;ug/mL;30,596;57;50;46,72897196
Nouzilly;Nouzilly;4000;ug/mL;30,596;58;50;46,2962963
Nouzilly;Nouzilly;4000;ug/mL;30,596;55;63;53,38983051
Nouzilly;Nouzilly;4000;ug/mL;30,596;62;43;40,95238095
Nouzilly;Nouzilly;4000;ug/mL;30,596;74;20;21,27659574
Nouzilly;Nouzilly;3500;ug/mL;26,7715;27;39;59,09090909
Nouzilly;Nouzilly;3500;ug/mL;26,7715;42;38;47,5
Nouzilly;Nouzilly;3500;ug/mL;26,7715;18;30;62,5
Nouzilly;Nouzilly;3500;ug/mL;26,7715;30;52;63,41463415
Nouzilly;Nouzilly;3500;ug/mL;26,7715;31;67;68,36734694
Nouzilly;Nouzilly;3500;ug/mL;26,7715;30;39;56,52173913
Nouzilly;Nouzilly;3000;ug/mL;22,947;31;58;65,16853933
Nouzilly;Nouzilly;3000;ug/mL;22,947;37;43;53,75
Nouzilly;Nouzilly;3000;ug/mL;22,947;30;53;63,85542169
Nouzilly;Nouzilly;3000;ug/mL;22,947;49;57;53,77358491
Nouzilly;Nouzilly;3000;ug/mL;22,947;38;54;58,69565217
Nouzilly;Nouzilly;3000;ug/mL;22,947;37;53;58,88888889
Nouzilly;Nouzilly;2500;ug/mL;19,1225;26;52;66,66666667
Nouzilly;Nouzilly;2500;ug/mL;19,1225;28;41;59,42028986
Nouzilly;Nouzilly;2500;ug/mL;19,1225;23;49;68,05555556
Nouzilly;Nouzilly;2500;ug/mL;19,1225;36;26;41,93548387
Nouzilly;Nouzilly;2500;ug/mL;19,1225;22;35;61,40350877
Nouzilly;Nouzilly;2500;ug/mL;19,1225;32;43;57,33333333
Nouzilly;Nouzilly;2000;ug/mL;15,298;1;49;98
Nouzilly;Nouzilly;2000;ug/mL;15,298;5;43;89,58333333
Nouzilly;Nouzilly;2000;ug/mL;15,298;2;30;93,75
Nouzilly;Nouzilly;2000;ug/mL;15,298;6;61;91,04477612
Nouzilly;Nouzilly;2000;ug/mL;15,298;1;44;97,77777778
Nouzilly;Nouzilly;2000;ug/mL;15,298;5;28;84,84848485
Nouzilly;Nouzilly;1000;ug/mL;7,649;2;75;97,4025974
Nouzilly;Nouzilly;1000;ug/mL;7,649;1;72;98,63013699
Nouzilly;Nouzilly;1000;ug/mL;7,649;0;66;100
Nouzilly;Nouzilly;1000;ug/mL;7,649;0;85;100
Nouzilly;Nouzilly;1000;ug/mL;7,649;1;57;98,27586207
Nouzilly;Nouzilly;1000;ug/mL;7,649;0;87;100
Chamberet;Control;0;NA;0;6;68;91,89189189
Chamberet;Control;0;NA;0;5;75;93,75
Chamberet;Control;0;NA;0;4;83;95,40229885
Chamberet;Control;0;NA;0;5;77;93,90243902
Chamberet;Control;0;NA;0;1;60;98,36065574
Chamberet;Control;0;NA;0;4;66;94,28571429
Chamberet;Chamberet;5000;ug/mL;38,245;88;0;0
Chamberet;Chamberet;5000;ug/mL;38,245;91;0;0
Chamberet;Chamberet;5000;ug/mL;38,245;91;0;0
Chamberet;Chamberet;5000;ug/mL;38,245;99;0;0
Chamberet;Chamberet;5000;ug/mL;38,245;98;0;0
Chamberet;Chamberet;5000;ug/mL;38,245;95;0;0
Chamberet;Chamberet;3000;ug/mL;22,947;54;51;48,57142857
Chamberet;Chamberet;3000;ug/mL;22,947;64;13;16,88311688
Chamberet;Chamberet;3000;ug/mL;22,947;55;27;32,92682927
Chamberet;Chamberet;3000;ug/mL;22,947;39;24;38,0952381
Chamberet;Chamberet;3000;ug/mL;22,947;49;37;43,02325581
Chamberet;Chamberet;3000;ug/mL;22,947;57;13;18,57142857
Chamberet;Chamberet;1000;ug/mL;7,649;17;47;73,4375
Chamberet;Chamberet;1000;ug/mL;7,649;46;48;51,06382979
Chamberet;Chamberet;1000;ug/mL;7,649;29;59;67,04545455
Chamberet;Chamberet;1000;ug/mL;7,649;29;48;62,33766234
Chamberet;Chamberet;1000;ug/mL;7,649;24;34;58,62068966
Chamberet;Chamberet;1000;ug/mL;7,649;23;36;61,01694915
Chamberet;Chamberet;500;ug/mL;3,8245;36;53;59,5505618
Chamberet;Chamberet;500;ug/mL;3,8245;30;40;57,14285714
Chamberet;Chamberet;500;ug/mL;3,8245;37;44;54,32098765
Chamberet;Chamberet;500;ug/mL;3,8245;32;55;63,2183908
Chamberet;Chamberet;500;ug/mL;3,8245;15;48;76,19047619
Chamberet;Chamberet;500;ug/mL;3,8245;12;35;74,46808511
Chamberet;Chamberet;100;ug/mL;0,7649;19;39;67,24137931
Chamberet;Chamberet;100;ug/mL;0,7649;8;24;75
Chamberet;Chamberet;100;ug/mL;0,7649;19;48;71,64179104
Chamberet;Chamberet;100;ug/mL;0,7649;18;35;66,03773585
Chamberet;Chamberet;100;ug/mL;0,7649;14;40;74,07407407
Chamberet;Chamberet;100;ug/mL;0,7649;15;55;78,57142857
Chamberet;Chamberet;10;ug/mL;0,07649;13;36;73,46938776
Chamberet;Chamberet;10;ug/mL;0,07649;18;25;58,13953488
Chamberet;Chamberet;10;ug/mL;0,07649;8;42;84
Chamberet;Chamberet;10;ug/mL;0,07649;10;33;76,74418605
Chamberet;Chamberet;10;ug/mL;0,07649;10;36;78,26086957
Chamberet;Chamberet;10;ug/mL;0,07649;9;39;81,25
Chamberet;Chamberet;1;ug/mL;0,007649;3;33;91,66666667
Chamberet;Chamberet;1;ug/mL;0,007649;3;31;91,17647059
Chamberet;Chamberet;1;ug/mL;0,007649;4;33;89,18918919
Chamberet;Chamberet;1;ug/mL;0,007649;5;39;88,63636364
Chamberet;Chamberet;1;ug/mL;0,007649;6;45;88,23529412
Chamberet;Chamberet;1;ug/mL;0,007649;3;29;90,625
