Name;Horses;Group;Date;Day;EPG;EPG_corrected;Dev;MF_g;MS_g
KAIA DE SPI;1;Chicory;19/08/2022;d0;1020;1020;0;;
KASSCROUT DE SPI;2;Chicory;19/08/2022;d0;3000;3000;10,66666667;;
KECHAZULA DE SPI;3;Chicory;19/08/2022;d0;2265;2265;0;;
KELAMOUR DE SPI;4;Chicory;19/08/2022;d0;2895;2895;0;;
KELBLAGUE DE SPI;5;Chicory;19/08/2022;d0;1020;1020;0;;
KELELAPOM DE SPI;6;Chicory;19/08/2022;d0;3450;3450;0,078743961;;
KIPIKI DE SPI;7;Chicory;19/08/2022;d0;2070;2070;0,14331723;;
KOMPROMI DE SPI;8;Chicory;19/08/2022;d0;1860;1860;0,152329749;;
KONTENTE DE SPI;9;Chicory;19/08/2022;d0;1905;1905;0,141732283;;
KUNE ESPRIT;10;Chicory;19/08/2022;d0;2205;2205;2,328042328;;
KANICULE DE SPI;11;Control;19/08/2022;d0;915;915;0;;
KARAPATE DE SPI;12;Control;19/08/2022;d0;2700;2700;0;;
KELISANDE DE SPI;13;Control;19/08/2022;d0;1410;1410;0;;
KEMELISS DE SPI;14;Control;19/08/2022;d0;2010;2010;0,597014925;;
KHALICI DE SPI;15;Control;19/08/2022;d0;1980;1980;0;;
KIKAVULAPOM DE SPI;16;Control;19/08/2022;d0;2220;2220;0;;
KOLINE DES ESPRITS;17;Control;19/08/2022;d0;1380;1380;0;;
KUPIDON DE SPI;18;Control;19/08/2022;d0;3330;3330;1,378378378;;
KUTRICULE DE SPI;19;Control;19/08/2022;d0;3615;3615;1,5329645;;
KWEEN DE SPIRIT;20;Control;19/08/2022;d0;2130;2130;3,192488263;;
KAIA DE SPI;1;Chicory;09/09/2022;d16;285;1330;6,596491228;126;27
KASSCROUT DE SPI;2;Chicory;09/09/2022;d16;465;2325;22,01433692;115;23
KECHAZULA DE SPI;3;Chicory;09/09/2022;d16;450;2314,285714;3,166666667;72;14
KELAMOUR DE SPI;4;Chicory;09/09/2022;d16;555;3008,684211;15,37537538;103;19
KELBLAGUE DE SPI;5;Chicory;09/09/2022;d16;90;481,3043478;16,2037037;123;23
KELELAPOM DE SPI;6;Chicory;09/09/2022;d16;255;1455;18,23529412;97;17
KIPIKI DE SPI;7;Chicory;09/09/2022;d16;255;1462,894737;8,986928105;109;19
KOMPROMI DE SPI;8;Chicory;09/09/2022;d16;360;1656;5,282407407;115;25
KONTENTE DE SPI;9;Chicory;09/09/2022;d16;120;648;10,11111111;135;25
KUNE ESPRIT;10;Chicory;09/09/2022;d16;15;68;17,77777778;68;15
KANICULE DE SPI;11;Control;09/09/2022;d16;570;3087,5;24,4619883;65;12
KARAPATE DE SPI;12;Control;09/09/2022;d16;1770;9912;17,28248588;56;10
KELISANDE DE SPI;13;Control;09/09/2022;d16;1200;6646,153846;7,602777778;72;13
KEMELISS DE SPI;14;Control;09/09/2022;d16;615;3578,181818;6,032520325;64;11
KHALICI DE SPI;15;Control;09/09/2022;d16;930;5347,5;27,26702509;69;12
KIKAVULAPOM DE SPI;16;Control;09/09/2022;d16;855;4417,5;7,894736842;62;12
KOLINE DES ESPRITS;17;Control;09/09/2022;d16;945;5040;7,604938272;64;12
