Name;Horses;Group;Day;Weight
KAIA DE SPI;1;Chicory;d0;466,62
KAIA DE SPI;1;Chicory;d45;468,27
KANICULE DE SPI;11;Control;d0;441,88
KANICULE DE SPI;11;Control;d45;459,93
KARAPATE DE SPI;12;Control;d0;455,63
KARAPATE DE SPI;12;Control;d45;462,58
KASSCROUT DE SPI;2;Chicory;d0;443,55
KASSCROUT DE SPI;2;Chicory;d45;447,13
KECHAZULA DE SPI;3;Chicory;d0;484,43
KECHAZULA DE SPI;3;Chicory;d45;477,20
KELAMOUR DE SPI;4;Chicory;d0;461,55
KELAMOUR DE SPI;4;Chicory;d45;459,38
KELBLAGUE DE SPI;5;Chicory;d0;452,62
KELBLAGUE DE SPI;5;Chicory;d45;453,58
KELELAPOM DE SPI;6;Chicory;d0;422,91
KELELAPOM DE SPI;6;Chicory;d45;427,89
KELISANDE DE SPI;13;Control;d0;477,00
KELISANDE DE SPI;13;Control;d45;491,22
KEMELISS DE SPI;14;Control;d0;480,00
KEMELISS DE SPI;14;Control;d45;493,93
KHALICI DE SPI;15;Control;d0;441,40
KHALICI DE SPI;15;Control;d45;456,01
KIKAVULAPOM DE SPI;16;Control;d0;457,00
KIKAVULAPOM DE SPI;16;Control;d45;474,33
KIPIKI DE SPI;7;Chicory;d0;468,76
KIPIKI DE SPI;7;Chicory;d45;465,23
KOLINE DES ESPRITS;17;Control;d0;445,98
KOLINE DES ESPRITS;17;Control;d45;457,43
KOMPROMI DE SPI;8;Chicory;d0;450,69
KOMPROMI DE SPI;8;Chicory;d45;446,47
KONTENTE DE SPI;9;Chicory;d0;492,50
KONTENTE DE SPI;9;Chicory;d45;490,48
KUNE ESPRIT;10;Chicory;d0;471,60
KUNE ESPRIT;10;Chicory;d45;453,33
KUPIDON DE SPI;18;Control;d0;484,79
KUPIDON DE SPI;18;Control;d45;508,59
KUTRICULE DE SPI;19;Control;d0;447,46
KUTRICULE DE SPI;19;Control;d45;465,16
KWEEN DE SPIRIT;20;Control;d0;434,51
KWEEN DE SPIRIT;20;Control;d45;443,24
KAIA DE SPI;1;Chicory;d-5;465,5
KASSCROUT DE SPI;2;Chicory;d-5;435,84
KECHAZULA DE SPI;3;Chicory;d-5;486,2
KELAMOUR DE SPI;4;Chicory;d-5;466,16
KELBLAGUE DE SPI;5;Chicory;d-5;456
KELELAPOM DE SPI;6;Chicory;d-5;420,69
KIPIKI DE SPI;7;Chicory;d-5;463,61
KOMPROMI DE SPI;8;Chicory;d-5;459,85
KONTENTE DE SPI;9;Chicory;d-5;487,38
KUNE ESPRIT;10;Chicory;d-5;464,38
KAIA DE SPI;11;Control;d-5;447,11
KASSCROUT DE SPI;12;Control;d-5;451,09
KECHAZULA DE SPI;13;Control;d-5;481,59
KELAMOUR DE SPI;14;Control;d-5;480,75
KELBLAGUE DE SPI;15;Control;d-5;447,11
KELELAPOM DE SPI;16;Control;d-5;456
KIPIKI DE SPI;17;Control;d-5;449,75
KOMPROMI DE SPI;18;Control;d-5;483,83
KONTENTE DE SPI;19;Control;d-5;448,4
KUNE ESPRIT;20;Control;d-5;429,95
