	input	filtered	denoised	merged	non-chimeric
101302_ID2800_1-WP3Ch1D0-CHI1-A1_S431_L002_R1.fastq.gz	748920	703166	702964	694118	674697
101303_ID2800_2-WP3Ch2D0-CHI1-A2_S432_L002_R1.fastq.gz	661333	621986	621548	618573	574977
101305_ID2800_4-WP3Te4D0-CHI1-A4_S433_L002_R1.fastq.gz	697692	657713	657654	654277	646694
101306_ID2800_5-WP3Te5D0-CHI1-A5_S434_L002_R1.fastq.gz	5520	5215	4736	4317	3909
101307_ID2800_6-WP3Te6D0-CHI1-A6_S435_L002_R1.fastq.gz	396496	372553	372410	370818	364903
101308_ID2800_7-WP3Te7D0-CHI1-A7_S436_L002_R1.fastq.gz	480853	453557	453374	450532	433109
101309_ID2800_8-WP3Ch1D16-CHI1-A8_S437_L002_R1.fastq.gz	564327	529883	529661	515688	484933
101310_ID2800_9-WP3Ch2D16-CHI1-A9_S438_L002_R1.fastq.gz	492977	462495	462178	432605	394607
101311_ID2800_10-WP3Ch3D16-CHI1-A10_S439_L002_R1.fastq.gz	305179	287095	286841	282472	281105
101312_ID2800_11-WP3Ch4D16-CHI1-A11_S440_L002_R1.fastq.gz	570381	537292	536777	518343	474227
101313_ID2800_12-WP3Ch5D16-CHI1-A12_S441_L002_R1.fastq.gz	664999	627560	627202	620629	599172
101314_ID2800_13-WP3Ch6D16-CHI1-B1_S442_L002_R1.fastq.gz	507837	476489	476248	445233	429227
101315_ID2800_14-WP3Ch7D16-CHI1-B2_S443_L002_R1.fastq.gz	709081	672758	672123	642915	619184
101316_ID2800_15-WP3Ch8D16-CHI1-B3_S444_L002_R1.fastq.gz	461170	433309	433166	431488	429488
101317_ID2800_16-WP3Ch9D16-CHI1-B4_S445_L002_R1.fastq.gz	420592	397249	397015	392906	386774
101318_ID2800_17-WP3Ch10D16-CHI1-B5_S446_L002_R1.fastq.gz	311964	291130	290995	289662	281362
101319_ID2800_18-WP3Te11D16-CHI1-B6_S447_L002_R1.fastq.gz	296387	278550	278471	274078	265396
101320_ID2800_19-WP3Te12D16-CHI1-B7_S448_L002_R1.fastq.gz	543854	512683	512577	508945	475638
101321_ID2800_20-WP3Te13D16-CHI1-B8_S449_L002_R1.fastq.gz	870	820	343	236	231
101322_ID2800_21-WP3Te14D16-CHI1-B9_S450_L002_R1.fastq.gz	449351	424171	423947	413524	386674
101324_ID2800_23-WP3Te16D16-CHI1-B11_S451_L002_R1.fastq.gz	572787	535348	535147	532777	517528
